DATA,VISITANTE,CASA,VENCEDOR,WIN_PONTOS,LOSER_PONTOS,PERDEDOR
19-10-2021,BKN,MIL,MIL,127,104,BKN
19-10-2021, GS,LAL,GS ,121,114,LAL
20-10-2021,IND,CHA,CHA,123,122,IND
20-10-2021,CHI,DET,CHI,94,88,DET
20-10-2021,BOS, NY,NY ,138,134,BOS
20-10-2021,WSH,TOR,WSH,98,83,TOR
20-10-2021,CLE,MEM,MEM,132,121,CLE
20-10-2021,HOU,MIN,MIN,124,106,HOU
20-10-2021,PHI, NO,PHI,117,97,NO 
20-10-2021,ORL, SA,SA ,123,97,ORL
20-10-2021,OKC,TAH,UTA,107,86,OKC
20-10-2021,DEN,PHX,DEN,110,98,PHX
20-10-2021,SAC,POR,SAC,124,121,POR
21-10-2021,DAL,ATL,ATL,113,87,DAL
21-10-2021,MIL,MIA,MIA,137,95,MIL
21-10-2021,LAC, GS,GS ,115,113,LAC
22-10-2021,CHA,CLE,CHA,123,112,CLE
22-10-2021, NY,ORL,NY ,121,96,ORL
22-10-2021,IND,WSH,WSH,135,134,IND
22-10-2021,BKN,PHI,BKN,114,109,PHI
22-10-2021,TOR,BOS,TOR,115,83,BOS
22-10-2021, NO,CHI,CHI,128,112,NO 
22-10-2021,OKC,HOU,HOU,124,91,OKC
22-10-2021, SA,DEN,DEN,102,96,SA 
22-10-2021,PHX,LAL,PHX,115,105,LAL
22-10-2021,TAH,SAC,UTA,110,101,SAC
23-10-2021,ATL,CLE,CLE,101,95,ATL
23-10-2021,MIA,IND,IND,102,91,MIA
23-10-2021,DAL,TOR,DAL,103,95,TOR
23-10-2021,DET,CHI,CHI,97,82,DET
23-10-2021, NO,MIN,MIN,96,89,NO 
23-10-2021,MIL, SA,MIL,121,111,SA 
23-10-2021,PHX,POR,POR,134,105,PHX
23-10-2021,MEM,LAC,MEM,120,114,LAC
24-10-2021,CHA,BKN,CHA,111,95,BKN
24-10-2021,ORL, NY,ORL,110,104,NY 
24-10-2021,BOS,HOU,BOS,107,97,HOU
24-10-2021,PHI,OKC,PHI,115,103,OKC
24-10-2021, GS,SAC,GS ,119,107,SAC
24-10-2021,MEM,LAL,LAL,121,118,MEM
25-10-2021,BOS,CHA,BOS,140,129,CHA
25-10-2021,MIL,IND,MIL,119,109,IND
25-10-2021,DET,ATL,ATL,122,104,DET
25-10-2021,WSH,BKN,BKN,104,90,WSH
25-10-2021,ORL,MIA,MIA,107,90,ORL
25-10-2021,CHI,TOR,CHI,111,108,TOR
25-10-2021, NO,MIN,NO ,107,98,MIN
25-10-2021,CLE,DEN,CLE,99,87,DEN
25-10-2021,POR,LAC,LAC,116,86,POR
26-10-2021,PHI, NY,NY ,112,99,PHI
26-10-2021, GS,OKC,GS ,106,98,OKC
26-10-2021,HOU,DAL,DAL,116,106,HOU
26-10-2021,LAL, SA,LAL,125,121,SA 
26-10-2021,DEN,TAH,UTA,122,110,DEN
27-10-2021,CHA,ORL,CHA,120,111,ORL
27-10-2021,WSH,BOS,WSH,116,107,BOS
27-10-2021,MIA,BKN,MIA,106,93,BKN
27-10-2021,IND,TOR,TOR,118,100,IND
27-10-2021,ATL, NO,ATL,102,99,NO 
27-10-2021,MIN,MIL,MIN,113,108,MIL
27-10-2021,LAL,OKC,OKC,123,115,LAL
27-10-2021,SAC,PHX,SAC,110,107,PHX
27-10-2021,MEM,POR,POR,116,96,MEM
27-10-2021,CLE,LAC,CLE,92,79,LAC
28-10-2021,DET,PHI,PHI,110,102,DET
28-10-2021,ATL,WSH,WSH,122,111,ATL
28-10-2021, NY,CHI,NY ,104,103,CHI
28-10-2021,TAH,HOU,UTA,122,91,HOU
28-10-2021, SA,DAL,DAL,104,99,SA 
28-10-2021,MEM, GS,MEM,104,101,GS 
29-10-2021,ORL,TOR,TOR,110,109,ORL
29-10-2021,IND,BKN,BKN,105,98,IND
29-10-2021,CHA,MIA,MIA,114,99,CHA
29-10-2021,SAC, NO,SAC,113,109,NO 
29-10-2021,DAL,DEN,DEN,106,75,DAL
29-10-2021,LAC,POR,POR,111,92,LAC
29-10-2021,CLE,LAL,LAL,113,101,CLE
30-10-2021,BOS,WSH,WSH,115,112,BOS
30-10-2021,ORL,DET,DET,110,103,ORL
30-10-2021, NY, NO,NY ,123,117,NO 
30-10-2021,TOR,IND,TOR,97,94,IND
30-10-2021,ATL,PHI,PHI,122,94,ATL
30-10-2021,TAH,CHI,CHI,107,99,UTA
30-10-2021,MIA,MEM,MIA,129,103,MEM
30-10-2021, SA,MIL,SA ,102,93,MIL
30-10-2021,OKC, GS,GS ,103,82,OKC
30-10-2021,DEN,MIN,DEN,93,91,MIN
30-10-2021,CLE,PHX,PHX,101,92,CLE
31-10-2021,SAC,DAL,DAL,105,99,SAC
31-10-2021,POR,CHA,CHA,125,113,POR
31-10-2021,TAH,MIL,UTA,107,95,MIL
31-10-2021,DET,BKN,BKN,117,91,DET
31-10-2021,HOU,LAL,LAL,95,85,HOU
01-11-2021,CLE,CHA,CLE,113,110,CHA
01-11-2021, SA,IND,IND,131,118,SA 
01-11-2021,POR,PHI,PHI,113,103,POR
01-11-2021,WSH,ATL,ATL,118,111,WSH
01-11-2021,CHI,BOS,CHI,128,114,BOS
01-11-2021,TOR, NY,TOR,113,104,NY 
01-11-2021,DEN,MEM,MEM,106,97,DEN
01-11-2021,ORL,MIN,ORL,115,97,MIN
01-11-2021,OKC,LAC,LAC,99,94,OKC
02-11-2021,MIL,DET,MIL,117,89,DET
02-11-2021,MIA,DAL,MIA,125,110,DAL
02-11-2021,SAC,TAH,UTA,119,113,SAC
02-11-2021, NO,PHX,PHX,112,100,NO 
02-11-2021,HOU,LAL,LAL,119,117,HOU
03-11-2021,POR,CLE,CLE,107,104,POR
03-11-2021, NY,IND,IND,111,98,NY 
03-11-2021,BOS,ORL,BOS,92,79,ORL
03-11-2021,CHI,PHI,PHI,103,98,CHI
03-11-2021,TOR,WSH,TOR,109,100,WSH
03-11-2021,ATL,BKN,BKN,117,108,ATL
03-11-2021,DEN,MEM,MEM,108,106,DEN
03-11-2021,LAC,MIN,LAC,126,115,MIN
03-11-2021,DAL, SA,DAL,109,108,SA 
03-11-2021,CHA, GS,GS ,114,92,CHA
03-11-2021, NO,SAC,SAC,112,99,NO 
04-11-2021,PHI,DET,PHI,109,98,DET
04-11-2021,TAH,ATL,UTA,116,98,ATL
04-11-2021,BOS,MIA,BOS,95,78,MIA
04-11-2021,HOU,PHX,PHX,123,111,HOU
04-11-2021,OKC,LAL,OKC,107,104,LAL
05-11-2021,BKN,DET,BKN,96,90,DET
05-11-2021, SA,ORL,SA ,102,89,ORL
05-11-2021,MEM,WSH,WSH,115,87,MEM
05-11-2021,CLE,TOR,CLE,102,101,TOR
